#{"t_start": 1767430297.952366, "env_id": "None"}
r,l,t
-2013.0,2000,5.638564
-1140.15,2000,14.784363
-3173.55,2000,24.828965
-7896.5,2000,34.749931
-2216.15,2000,44.057586
-9255.45,2000,59.518087
-2520.0,2000,68.171208
-2159.95,2000,77.570787
-2448.9,2000,87.275788
-2679.0,2000,97.825166
-2601.15,2000,114.662505
-1563.9,2000,124.205322
-1333.55,2000,133.938331
-2300.5,2000,143.099486
-1293.85,2000,152.3483
-2543.75,2000,168.079126
-1648.25,2000,178.300885
197.1,2000,187.356376
-949.6,2000,196.44598
-1494.55,2000,205.346772
399.2,2000,221.82053
-7455.95,2000,230.684365
-324.65,2000,239.759409
-7687.3,2000,249.022293
-1807.75,2000,257.963629
-424.6,2000,273.857451
-8164.25,2000,283.032402
469.05,2000,291.918463
-1341.15,2000,300.803279
1463.7,2000,310.201656
-8693.25,2000,326.361851
-5120.7,2000,335.643055
-1326.2,2000,344.990491
945.65,2000,353.847744
-571.8,2000,362.737094
108.3,2000,379.097915
710.45,2000,388.053431
-507.9,2000,397.22509
-8287.55,2000,406.407537
-9019.5,2000,415.597115
-7550.15,2000,431.656431
1044.3,2000,440.625876
-13.05,2000,444.499675
-8578.95,2000,453.580265
2420.6,2000,462.695265
1306.05,2000,478.902702
529.3,2000,488.014031
-952.45,2000,497.021239
-7107.6,2000,506.058232
-4276.0,2000,515.208181
1190.15,2000,531.361887
-1106.2,2000,540.378874
-8798.4,2000,549.658993
-1388.65,2000,558.644219
-1087.55,2000,567.619452
-139.55,2000,585.284565
-740.25,2000,595.4674
-7777.35,2000,605.436743
-363.55,2000,614.581334
-8122.75,2000,623.50803
674.1,2000,639.918029
-69.3,2000,649.051348
1888.7,2000,657.887046
234.75,2000,666.724468
2374.95,2000,675.97598
1584.75,2000,692.276113
1053.8,2000,701.448801
-7035.95,2000,711.093839
-7252.0,2000,720.078744
411.35,2000,729.35632
-887.3,2000,745.274612
1466.0,2000,754.546911
2124.2,2000,763.615863
-421.3,2000,773.588645
267.7,2000,782.698459
-777.75,2000,798.689317
1290.25,2000,807.615367
-7429.9,2000,816.74306
1972.05,2000,825.810086
1900.0,2000,834.712472
-7683.4,2000,850.931746
1271.5,2000,859.952748
-6445.05,2000,868.769587
-7311.65,2000,877.86712
-530.0,2000,886.906455
-103.8,2000,897.906164
-382.25,2000,906.928101
759.9,2000,916.257009
801.05,2000,925.312809
834.6,2000,934.501508
-204.25,2000,950.663629
-450.35,2000,959.662075
-6773.55,2000,969.070847
-7421.05,2000,978.188358
1328.9,2000,987.461148
-7668.15,2000,1003.984157
1246.95,2000,1013.001331
-7831.45,2000,1021.991723
2296.65,2000,1031.325171
-7589.25,2000,1040.681495
-7461.6,2000,1056.713679
736.1,2000,1065.928125
-605.4,2000,1075.072673
-830.15,2000,1084.182352
-6510.85,2000,1093.4419
1114.8,2000,1109.308279
-7258.2,2000,1118.658805
1224.85,2000,1127.557324
2826.4,2000,1136.432207
1663.15,2000,1145.302278
-4564.5,2000,1161.691301
-8137.85,2000,1170.658769
1102.5,2000,1180.087625
2090.45,2000,1188.94598
-6961.2,2000,1197.844912
-905.4,2000,1213.961747
-192.7,2000,1222.972449
-7178.85,2000,1232.209229
-409.3,2000,1241.499389
2586.9,2000,1250.369672
738.7,2000,1266.162487
-457.55,2000,1275.272301
1595.85,2000,1284.32743
710.3,2000,1293.440498
631.35,2000,1302.730103
-5913.8,2000,1318.934358
1204.0,2000,1327.931649
486.45,2000,1331.979709
636.75,2000,1340.890485
1310.8,2000,1349.838986
2499.55,2000,1366.367065
-358.9,2000,1376.660691
1603.2,2000,1386.046238
71.0,2000,1395.425122
-7105.35,2000,1404.461592
4026.9,2000,1420.966338
195.6,2000,1430.017326
2052.85,2000,1439.116584
-7029.35,2000,1448.372327
1105.55,2000,1457.455689
-551.25,2000,1473.42646
-7346.55,2000,1482.568626
1099.65,2000,1491.519563
180.05,2000,1500.560864
3512.3,2000,1509.714068
-6919.35,2000,1525.576469
-6465.25,2000,1534.627741
1306.6,2000,1543.757398
-733.9,2000,1552.749633
445.5,2000,1561.653371
-1848.95,2000,1578.000884
-5995.55,2000,1586.965104
-285.1,2000,1596.245914
1195.15,2000,1605.626386
-7190.3,2000,1614.665591
-6667.2,2000,1630.987167
1576.0,2000,1639.888158
-502.5,2000,1648.758148
1260.5,2000,1658.08314
2302.8,2000,1667.260336
-7075.6,2000,1683.200651
-401.8,2000,1692.419433
705.05,2000,1701.470967
1417.0,2000,1710.635653
623.35,2000,1720.023175
2484.85,2000,1735.855173
-3424.75,2000,1744.83541
1055.3,2000,1754.054107
1211.25,2000,1763.106885
2612.55,2000,1772.235904
1074.0,2000,1783.145181
2456.75,2000,1792.187325
488.5,2000,1801.133087
-7355.85,2000,1810.465093
-7663.25,2000,1819.39926
3046.6,2000,1835.425546
2493.3,2000,1844.598815
-7616.5,2000,1853.505486
2606.3,2000,1862.551988
1461.75,2000,1871.856823
-6155.2,2000,1887.524274
-6496.9,2000,1896.794408
709.95,2000,1906.047838
-7310.0,2000,1915.060697
389.35,2000,1923.965073
-6283.1,2000,1940.232568
2271.95,2000,1949.270832
841.4,2000,1958.657901
-5316.85,2000,1967.773615
-6702.45,2000,1977.671953
2376.95,2000,1993.873286
-6307.2,2000,2002.934336
1734.95,2000,2012.115137
1637.4,2000,2021.453675
1747.75,2000,2030.531436
-857.65,2000,2046.148972
2273.45,2000,2055.274235
-445.65,2000,2064.115702
-6832.75,2000,2073.211736
-7159.2,2000,2082.493322
-729.3,2000,2098.461734
-53.85,2000,2107.505054
-4427.15,2000,2116.860256
547.45,2000,2125.849694
1925.25,2000,2135.114889
-243.2,2000,2151.22944
3798.6,2000,2160.35231
-7102.35,2000,2169.649553
-654.2,2000,2178.683765
287.65,2000,2187.652247
-80.25,2000,2204.030024
1169.7,2000,2212.998643
1253.65,2000,2222.127796
1428.85,2000,2226.196399
34.15,2000,2235.41329
205.45,2000,2251.237829
-7046.85,2000,2260.606846
461.05,2000,2269.477157
1820.35,2000,2278.600521
671.05,2000,2287.462982
166.95,2000,2303.713804
-7355.05,2000,2312.909124
697.7,2000,2322.058557
-169.65,2000,2331.134855
-1781.05,2000,2340.081094
-5956.35,2000,2356.606239
-7278.95,2000,2365.477833
1977.8,2000,2374.532366
-6548.6,2000,2383.732296
-1262.1,2000,2392.602026
1081.15,2000,2408.619278
-7171.3,2000,2417.859225
-6829.95,2000,2427.014675
-6324.45,2000,2436.23238
1590.85,2000,2445.503322
2649.15,2000,2461.359159
-6709.7,2000,2471.096454
3003.25,2000,2480.794356
23.45,2000,2490.460903
844.4,2000,2499.981281
-6956.45,2000,2515.939797
-1816.4,2000,2524.832865
-2902.8,2000,2534.205901
2149.75,2000,2543.171558
-6711.95,2000,2552.512866
-6834.1,2000,2568.766144
-7127.4,2000,2578.815802
-115.6,2000,2587.790559
-184.3,2000,2597.058619
2723.75,2000,2605.948853
-6406.6,2000,2622.357493
2119.8,2000,2631.23983
2588.55,2000,2640.068269
-601.9,2000,2649.275896
168.65,2000,2658.195881
