#{"t_start": 1765689860.5203285, "env_id": "None"}
r,l,t
-171.395,1000,2.700597
-1165.035,1000,3.833264
-598.565,1000,6.267646
-273.535,1000,7.456121
-1103.96,1000,9.817962
-216.425,1000,10.901659
-1146.63,1000,13.393417
-64.3,1000,14.481608
-242.785,1000,16.849901
-1133.36,1000,18.021452
9.71,1000,23.750116
-831.34,1000,24.820662
-1085.175,1000,27.09397
-1028.24,1000,28.246627
-1084.285,1000,30.554311
-38.96,1000,31.64623
-1114.125,1000,34.154481
-1093.07,1000,35.230612
-195.945,1000,37.578617
-4.325,1000,38.798016
-1030.835,1000,44.395326
-1111.605,1000,45.533866
-905.43,1000,47.875683
-917.665,1000,48.995908
-1122.64,1000,51.497447
-374.735,1000,52.580857
-1112.385,1000,55.077263
-1103.86,1000,56.207029
427.08,1000,58.539168
-1099.605,1000,59.697864
-843.33,1000,65.437895
-990.855,1000,66.654319
-1106.2,1000,68.945068
-316.935,1000,70.109085
-312.49,1000,72.4955
-482.865,1000,73.617902
106.565,1000,76.113334
109.805,1000,77.230303
-1073.545,1000,79.501118
-1026.4,1000,80.701964
352.345,1000,86.665165
218.755,1000,87.831689
-836.76,1000,88.93601
-992.67,1000,91.314726
-198.44,1000,92.453395
86.935,1000,94.781726
-934.975,1000,95.970635
136.875,1000,98.417591
190.055,1000,99.521268
92.74,1000,101.970968
-1075.08,1000,106.415015
-1005.785,1000,108.811883
-826.915,1000,109.923296
-550.97,1000,112.506622
-1043.925,1000,113.586679
-836.885,1000,115.886222
380.145,1000,117.07081
-916.695,1000,119.412952
-904.14,1000,120.519053
316.785,1000,123.10042
-1055.7,1000,127.686693
-785.1,1000,129.999481
-921.78,1000,131.084897
-1004.435,1000,133.594215
-987.26,1000,134.698223
-406.12,1000,137.082688
-74.425,1000,138.298095
-745.985,1000,140.605523
-847.765,1000,141.728251
-100.415,1000,144.269095
-741.265,1000,148.701212
-890.375,1000,151.057118
-252.92,1000,152.17737
-996.305,1000,154.6962
-1098.25,1000,155.775521
-1056.73,1000,158.194263
196.54,1000,159.329399
-1122.625,1000,161.601432
-1050.015,1000,162.745455
-698.16,1000,165.151544
-727.575,1000,169.508595
289.515,1000,171.785416
-794.595,1000,172.90731
252.55,1000,175.333484
-332.85,1000,176.439268
-1067.09,1000,177.540093
-228.595,1000,180.008915
-647.315,1000,181.103583
33.305,1000,183.425717
30.93,1000,184.576107
-154.425,1000,190.270095
-971.375,1000,191.341806
-512.655,1000,193.691747
-424.48,1000,194.953751
-749.37,1000,197.236917
-936.27,1000,198.32415
-745.005,1000,200.848475
-1051.88,1000,201.941566
-1035.285,1000,204.2581
-728.87,1000,205.401723
-719.47,1000,211.164758
-959.2,1000,212.259988
-666.5,1000,214.812438
-714.855,1000,216.316023
-185.8,1000,219.147924
-840.9,1000,220.289272
84.665,1000,222.875623
-168.21,1000,224.041539
-977.01,1000,226.4828
-1042.105,1000,227.615711
-970.305,1000,233.722875
-763.445,1000,234.862633
145.145,1000,237.325492
-1044.455,1000,238.446276
-699.125,1000,240.907018
133.005,1000,242.48278
236.5,1000,244.99102
-1006.315,1000,246.264775
-645.955,1000,248.85119
-332.15,1000,250.043812
-843.57,1000,255.853145
-956.945,1000,256.972713
200.115,1000,259.759538
-965.86,1000,260.875616
-143.81,1000,263.374101
-682.855,1000,264.540169
-1085.725,1000,266.918689
-665.585,1000,268.115848
144.81,1000,269.336098
-947.315,1000,271.748658
132.965,1000,276.400385
-586.72,1000,278.852307
-870.905,1000,280.052001
-698.755,1000,282.596435
-659.465,1000,283.738933
-565.62,1000,286.176587
323.94,1000,287.321115
-707.515,1000,290.140406
-0.145,1000,291.27356
241.255,1000,293.666475
-990.9,1000,298.113386
-969.755,1000,300.591271
-784.885,1000,301.700995
-949.095,1000,304.195536
-691.275,1000,305.326317
-867.24,1000,307.931537
-934.79,1000,309.047422
-353.565,1000,311.620155
-1005.305,1000,312.766458
-831.195,1000,315.148296
-827.765,1000,319.843404
-487.01,1000,322.308904
-581.055,1000,323.490756
-963.735,1000,325.931298
-836.3,1000,327.059838
-928.33,1000,329.413361
135.455,1000,330.523983
-815.795,1000,332.931666
-834.045,1000,334.064435
-859.385,1000,336.518374
-1029.205,1000,341.037175
-1020.42,1000,343.504591
-217.255,1000,344.631399
-815.045,1000,347.135523
429.315,1000,348.433168
50.18,1000,351.120155
-393.84,1000,352.275562
-646.56,1000,354.693256
-757.23,1000,355.964844
-610.305,1000,358.385444
-35.37,1000,362.922099
-111.825,1000,364.050294
-905.825,1000,366.658572
-828.265,1000,367.772175
-963.23,1000,370.27102
-217.635,1000,371.410748
-149.505,1000,373.802242
-666.185,1000,375.156209
-616.325,1000,377.628152
-614.235,1000,378.965772
180.84,1000,384.85905
-715.065,1000,386.001333
-912.535,1000,388.420671
-681.215,1000,389.580084
-247.87,1000,392.07317
-894.52,1000,393.204726
-640.51,1000,395.718296
-993.815,1000,396.875637
37.125,1000,399.307011
-706.875,1000,400.47967
-1017.93,1000,406.317294
-98.775,1000,407.460798
-784.205,1000,410.271194
-708.84,1000,411.415435
93.46,1000,414.039126
-842.22,1000,415.181477
-879.26,1000,417.629584
-215.11,1000,418.773874
-631.635,1000,421.163235
-778.605,1000,422.287426
-709.405,1000,428.500643
88.975,1000,429.67264
-872.645,1000,432.15481
-779.045,1000,433.298134
-266.325,1000,435.83663
-872.625,1000,437.000075
-756.585,1000,439.84622
272.47,1000,440.993386
-967.755,1000,443.454937
235.065,1000,444.603076
-185.45,1000,450.735188
-966.03,1000,451.88238
-701.485,1000,454.383597
-438.265,1000,455.56644
313.135,1000,456.699036
-900.415,1000,459.131953
-963.415,1000,460.288291
-247.595,1000,462.735946
-720.53,1000,463.9705
214.615,1000,466.383037
-927.4,1000,471.319675
-704.95,1000,473.756233
-650.265,1000,474.884768
260.13,1000,477.369467
-689.86,1000,478.543444
-859.33,1000,481.030955
-772.945,1000,482.237473
-498.165,1000,484.668291
-871.965,1000,485.827282
-786.24,1000,488.433584
-819.27,1000,493.369686
224.505,1000,496.07595
-726.91,1000,497.206829
-935.085,1000,500.010579
-146.275,1000,501.138724
-664.705,1000,503.614243
-919.42,1000,504.755968
265.67,1000,507.231753
-978.495,1000,508.344002
-951.11,1000,510.75717
-660.39,1000,515.49272
-837.79,1000,518.01424
-967.82,1000,519.127355
-716.28,1000,521.58036
-423.325,1000,522.721804
-716.32,1000,525.144846
-667.475,1000,526.295851
-96.55,1000,528.987422
41.33,1000,530.135971
124.915,1000,532.654543
-736.51,1000,537.699564
-723.49,1000,540.678376
237.15,1000,541.888394
-898.465,1000,544.351927
-442.955,1000,545.534369
-918.275,1000,546.735334
-636.415,1000,549.106548
-965.635,1000,550.38374
-914.265,1000,552.961109
76.705,1000,554.140003
-110.275,1000,560.794601
-613.735,1000,561.93067
-1047.805,1000,564.31692
-1012.49,1000,565.448488
374.745,1000,568.059552
0.815,1000,570.068886
-696.92,1000,572.748464
-949.7,1000,573.863575
-211.275,1000,576.213863
-936.84,1000,577.345416
-932.54,1000,583.034996
-685.32,1000,584.138643
75.19,1000,586.491692
-803.45,1000,587.589155
-777.215,1000,590.472425
-641.265,1000,591.870796
-948.02,1000,594.146513
-762.425,1000,595.272847
-559.82,1000,597.658737
-1028.84,1000,598.783946
-154.615,1000,604.337484
-963.175,1000,605.419076
-776.905,1000,607.729239
-76.495,1000,608.825098
-885.335,1000,611.161602
184.55,1000,612.289087
-793.03,1000,614.615367
105.35,1000,615.717239
-745.94,1000,617.977583
275.075,1000,619.087379
181.055,1000,624.739897
-611.7,1000,625.821714
-877.385,1000,628.049665
-910.075,1000,629.125161
-601.36,1000,631.342991
-247.045,1000,632.424639
-232.625,1000,634.713653
-462.19,1000,635.818695
165.07,1000,636.887543
-689.005,1000,639.165127
-726.225,1000,643.530489
20.44,1000,645.84224
-875.295,1000,646.921423
-905.94,1000,649.20278
-939.48,1000,650.482435
-929.655,1000,652.749849
-177.06,1000,653.820758
109.805,1000,656.084481
341.065,1000,657.166198
328.395,1000,659.381721
-1037.17,1000,663.73806
368.825,1000,666.087369
-684.98,1000,667.19784
-804.17,1000,669.429178
-593.375,1000,670.494975
-1001.38,1000,672.764233
204.755,1000,673.850406
-1107.925,1000,676.218836
-1071.155,1000,677.302132
-729.765,1000,679.890589
-426.195,1000,684.345788
-974.725,1000,686.599401
-603.07,1000,687.66616
161.995,1000,689.898623
-961.855,1000,690.964422
-928.1,1000,693.199765
-908.04,1000,694.278249
-621.12,1000,696.576737
325.11,1000,697.644933
-1033.545,1000,699.899888
652.79,1000,704.242795
-862.54,1000,706.522289
-1064.28,1000,707.599246
323.63,1000,710.247713
-892.18,1000,711.320089
220.965,1000,713.526135
378.95,1000,714.591177
-459.15,1000,716.847467
-963.755,1000,717.908397
172.9,1000,720.097511
-895.82,1000,724.620815
-742.715,1000,725.790344
-280.87,1000,728.32011
-701.8,1000,729.462892
-794.505,1000,731.793623
231.46,1000,732.910841
-613.04,1000,735.249569
-939.515,1000,736.355056
-945.47,1000,738.772489
-601.655,1000,739.893208
-662.06,1000,745.696946
-352.23,1000,746.813876
-771.52,1000,749.12856
-829.35,1000,750.239907
-1049.97,1000,752.604189
-445.73,1000,753.702327
147.285,1000,756.072058
247.74,1000,757.173202
89.035,1000,760.200773
-1011.52,1000,761.375841
-26.03,1000,767.545322
-645.435,1000,768.664615
-998.025,1000,771.514152
